no of threads,execution time,fraction enhanced,speedup
1,509.372,0.999937,1,
2,306.923,0.999847,1.65976,
4,210.038,0.998219,2.42932,
6,162.612,0.999705,3.13317,
8,126.129,0.999881,4.03873,
12,125.676,0.999873,4.05332,
16,123.027,0.99974,4.14114,
24,123.633,0.997857,4.12862,
32,125.836,0.999746,4.04868,
